,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name,team,element_type,position,teamName,opponent,Date
10,5,107,15,2,False,2023-11-04T17:30:00Z,1,0,11,90,0,0,0,1,0,0,0,0,0,0,0,12,19.0,2.0,2.0,2.3,1,0.00,0.03,0.03,1.09,48,-102642,1431782,26641,129283,Gabriel,Arsenal,2,Defender,Arsenal,Newcastle,2023-11-04
11,5,111,6,2,True,2023-11-11T15:00:00Z,3,1,12,90,0,0,0,1,0,0,0,0,0,0,0,10,10.6,12.8,19.0,4.2,1,0.14,0.03,0.17,0.30,48,94101,1534828,130796,36695,Gabriel,Arsenal,2,Defender,Arsenal,Burnley,2023-11-11
12,5,121,4,6,False,2023-11-25T17:30:00Z,0,1,13,90,0,0,1,0,0,0,0,0,0,0,0,23,13.2,2.8,7.0,2.3,1,0.06,0.02,0.08,1.11,48,41771,1579515,85361,43590,Gabriel,Arsenal,2,Defender,Arsenal,Brentford,2023-11-25
13,5,131,20,2,True,2023-12-02T15:00:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,15,8.6,11.8,14.0,3.4,1,0.35,0.01,0.36,0.71,49,53508,1636459,76716,23208,Gabriel,Arsenal,2,Defender,Arsenal,Wolves,2023-12-02
14,5,146,12,1,False,2023-12-05T20:15:00Z,3,4,15,90,0,0,0,3,0,0,0,0,0,0,0,12,15.0,1.5,2.0,1.9,1,0.00,0.02,0.02,0.50,49,16951,1654121,44067,27116,Gabriel,Arsenal,2,Defender,Arsenal,Luton,2023-12-05
15,5,151,2,2,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,18,28.2,14.0,0.0,4.2,1,0.00,0.01,0.01,0.51,49,-43088,1609736,13305,56393,Gabriel,Arsenal,2,Defender,Arsenal,Aston Villa,2023-12-09
16,5,161,5,6,True,2023-12-17T14:00:00Z,2,0,17,90,0,0,1,0,0,0,0,0,0,0,0,24,10.0,2.1,19.0,3.1,1,0.06,0.05,0.11,0.69,49,-21353,1588625,19918,41271,Gabriel,Arsenal,2,Defender,Arsenal,Brighton,2023-12-17
0,6,2,16,2,True,2023-08-12T12:00:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,11,9.4,30.3,15.0,5.5,1,0.05,0.24,0.29,1.18,75,0,407159,0,0,Havertz,Arsenal,3,Midfielder,Arsenal,Nott'm Forest,2023-08-12
1,6,12,8,2,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,1,0,0,0,-1,0.0,13.8,6.0,1.9,1,0.02,0.05,0.07,1.06,75,-63530,377081,8492,72022,Havertz,Arsenal,3,Midfielder,Arsenal,Crystal Palace,2023-08-21
2,6,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,55,0,0,0,1,0,0,0,0,0,0,0,2,5.4,23.6,13.0,4.2,1,0.27,0.14,0.41,0.29,74,-76821,308042,5577,82398,Havertz,Arsenal,3,Midfielder,Arsenal,Fulham,2023-08-26
3,6,31,14,2,True,2023-09-03T15:30:00Z,3,1,4,76,0,0,0,1,0,0,0,0,0,0,0,5,7.8,12.3,21.0,4.1,1,0.36,0.04,0.40,0.90,73,-84114,228041,1637,85751,Havertz,Arsenal,3,Midfielder,Arsenal,Man Utd,2023-09-03
4,6,43,9,1,False,2023-09-17T15:30:00Z,0,1,5,10,0,0,0,0,0,0,0,0,0,0,0,4,2.4,0.3,2.0,0.5,0,0.00,0.00,0.00,0.10,72,-36089,197269,2545,38634,Havertz,Arsenal,3,Midfielder,Arsenal,Everton,2023-09-17
5,6,51,18,0,True,2023-09-24T13:00:00Z,2,2,6,45,0,0,0,1,0,0,0,1,0,0,0,-1,5.2,1.7,3.0,1.0,0,0.06,0.01,0.07,0.60,72,-18641,180502,1928,20569,Havertz,Arsenal,3,Midfielder,Arsenal,Spurs,2023-09-24
6,6,62,3,7,False,2023-09-30T14:00:00Z,0,4,7,80,1,0,1,0,0,0,0,1,0,0,0,18,39.6,3.5,26.0,6.9,1,0.82,0.02,0.84,0.69,71,-11888,170271,4545,16433,Havertz,Arsenal,3,Midfielder,Arsenal,Bournemouth,2023-09-30
7,6,71,13,4,True,2023-10-08T15:30:00Z,1,0,8,15,0,1,0,0,0,0,0,0,0,0,0,12,17.2,11.4,6.0,3.5,0,0.00,0.03,0.03,0.00,71,-4475,167477,3258,7733,Havertz,Arsenal,3,Midfielder,Arsenal,Man City,2023-10-08
8,6,84,7,1,False,2023-10-21T16:30:00Z,2,2,9,12,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,0.0,0.1,0,0.00,0.01,0.01,0.02,71,-3441,165616,2375,5816,Havertz,Arsenal,3,Midfielder,Arsenal,Chelsea,2023-10-21
9,6,91,17,3,True,2023-10-28T14:00:00Z,5,0,10,90,0,0,1,0,0,0,0,0,0,0,0,7,4.2,16.3,9.0,3.0,1,0.28,0.04,0.32,0.03,71,-5493,160775,1292,6785,Havertz,Arsenal,3,Midfielder,Arsenal,Sheffield Utd,2023-10-28
10,6,107,15,1,False,2023-11-04T17:30:00Z,1,0,11,90,0,0,0,1,0,0,0,1,0,0,0,5,5.2,3.3,23.0,3.2,1,0.08,0.06,0.14,1.09,71,-4952,156522,869,5821,Havertz,Arsenal,3,Midfielder,Arsenal,Newcastle,2023-11-04
11,6,111,6,1,True,2023-11-11T15:00:00Z,3,1,12,58,0,0,0,1,0,0,0,0,0,0,0,0,0.0,12.5,23.0,3.4,1,0.36,0.05,0.41,0.26,71,1092,158817,4858,3766,Havertz,Arsenal,3,Midfielder,Arsenal,Burnley,2023-11-11
12,6,121,4,6,False,2023-11-25T17:30:00Z,0,1,13,11,1,0,0,0,0,0,0,0,0,0,0,22,36.8,1.2,35.0,7.3,0,0.32,0.00,0.32,0.00,71,-2707,156951,2573,5280,Havertz,Arsenal,3,Midfielder,Arsenal,Brentford,2023-11-25
13,6,131,20,1,True,2023-12-02T15:00:00Z,2,1,14,12,0,0,0,1,0,0,0,0,0,0,0,3,1.4,0.5,0.0,0.2,0,0.00,0.00,0.00,0.13,71,9277,167388,11516,2239,Havertz,Arsenal,3,Midfielder,Arsenal,Wolves,2023-12-02
14,6,146,12,7,False,2023-12-05T20:15:00Z,3,4,15,90,1,0,0,3,0,0,0,0,0,0,0,25,41.0,42.0,37.0,12.0,1,0.92,0.07,0.99,0.50,71,-1402,166167,3805,5207,Havertz,Arsenal,3,Midfielder,Arsenal,Luton,2023-12-05
15,6,151,2,2,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,6,8.6,22.3,21.0,5.2,1,0.02,0.27,0.29,0.51,71,5391,172580,8706,3315,Havertz,Arsenal,3,Midfielder,Arsenal,Aston Villa,2023-12-09
16,6,161,5,8,True,2023-12-17T14:00:00Z,2,0,17,88,1,0,1,0,0,0,0,0,0,0,0,24,30.6,6.6,30.0,6.7,1,0.63,0.04,0.67,0.67,71,1854,175525,6633,4779,Havertz,Arsenal,3,Midfielder,Arsenal,Brighton,2023-12-17
0,8,2,16,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,80,0,208581,0,0,G.Jesus,Arsenal,4,Forward,Arsenal,Nott'm Forest,2023-08-12
1,8,12,8,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,79,-83981,128916,3233,87214,G.Jesus,Arsenal,4,Forward,Arsenal,Crystal Palace,2023-08-21
2,8,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.3,35.0,3.8,0,0.14,0.01,0.15,0.12,79,-20602,114556,8903,29505,G.Jesus,Arsenal,4,Forward,Arsenal,Fulham,2023-08-26
